title,company,location,skills_required,domain,stipend,duration,description
Machine Learning Intern,TechCorp 1,Bangalore,"pandas, Python, PyTorch, NumPy, Bash, Flask",AI/ML,8000,2 months,"Machine Learning Intern at TechCorp 1 in Bangalore. Focus on ai/ml projects with pandas, Python, PyTorch, NumPy, Bash."
Data Science Intern,Analytics Hub 1,Hyderabad,"pandas, SQL, Tableau, Power BI, Statistics",Data Science,9000,3 months,"Data Science Intern at Analytics Hub 1 in Hyderabad. Focus on data science projects with pandas, SQL, Tableau, Power BI, Statistics."
NLP Research Intern,AI Lab 1,Pune,"Python, Prompt Engineering, RAG, spaCy, BERT, NLTK, Transformers",NLP,10000,4 months,"NLP Research Intern at AI Lab 1 in Pune. Focus on nlp projects with Python, Prompt Engineering, RAG, spaCy, BERT."
Backend Developer Intern,StartupXYZ 1,Chennai,"REST APIs, FastAPI, Microservices, PostgreSQL, Linux",Backend,11000,5 months,"Backend Developer Intern at StartupXYZ 1 in Chennai. Focus on backend projects with REST APIs, FastAPI, Microservices, PostgreSQL, Linux."
Frontend Developer Intern,VisionTech 1,Remote,"HTML, Tailwind CSS, JavaScript, TypeScript, Next.js, CNN, C++",Frontend,12000,2 months,"Frontend Developer Intern at VisionTech 1 in Remote. Focus on frontend projects with HTML, Tailwind CSS, JavaScript, TypeScript, Next.js."
DevOps Intern,CloudNine 1,Delhi,"Kubernetes, Monitoring, Linux, Docker, CI/CD, Terraform, REST APIs",DevOps,13000,3 months,"DevOps Intern at CloudNine 1 in Delhi. Focus on devops projects with Kubernetes, Monitoring, Linux, Docker, CI/CD."
Cloud Engineering Intern,DataForge 1,Mumbai,"Terraform, GCP, Kubernetes, Linux, Docker",Cloud,14000,4 months,"Cloud Engineering Intern at DataForge 1 in Mumbai. Focus on cloud projects with Terraform, GCP, Kubernetes, Linux, Docker."
Computer Vision Intern,NextGen Systems 1,Noida,"Object Detection, PyTorch, Python, OpenCV, Image Processing, FastAPI, CI/CD",Computer Vision,15000,5 months,"Computer Vision Intern at NextGen Systems 1 in Noida. Focus on computer vision projects with Object Detection, PyTorch, Python, OpenCV, Image Processing."
Security Engineering Intern,InnoSoft 1,Gurugram,"SAST, Threat Modeling, IAM, Network Security, Secure Coding, OAuth, AWS, Bash",Security,16000,2 months,"Security Engineering Intern at InnoSoft 1 in Gurugram. Focus on security projects with SAST, Threat Modeling, IAM, Network Security, Secure Coding."
Product Analytics Intern,BrightEdge 1,Kolkata,"Tableau, SQL, Excel, Statistics, Celery, C++",Analytics,17000,3 months,"Product Analytics Intern at BrightEdge 1 in Kolkata. Focus on analytics projects with Tableau, SQL, Excel, Statistics, Celery."
Machine Learning Intern,NexusAI 1,Bangalore,"Feature Engineering, PyTorch, pandas, NumPy, A/B Testing, BERT, C++",AI/ML,18000,4 months,"Machine Learning Intern at NexusAI 1 in Bangalore. Focus on ai/ml projects with Feature Engineering, PyTorch, pandas, NumPy, A/B Testing."
Data Science Intern,QuantifyX 1,Hyderabad,"SQL, pandas, Statistics, Tableau, Spark, Power BI, NumPy",Data Science,19000,5 months,"Data Science Intern at QuantifyX 1 in Hyderabad. Focus on data science projects with SQL, pandas, Statistics, Tableau, Spark."
NLP Research Intern,TechCorp 2,Pune,"BERT, Embeddings, RAG, Prompt Engineering, Python",NLP,20000,2 months,"NLP Research Intern at TechCorp 2 in Pune. Focus on nlp projects with BERT, Embeddings, RAG, Prompt Engineering, Python."
Backend Developer Intern,Analytics Hub 2,Chennai,"Microservices, Python, FastAPI, Docker, REST APIs, PostgreSQL",Backend,21000,3 months,"Backend Developer Intern at Analytics Hub 2 in Chennai. Focus on backend projects with Microservices, Python, FastAPI, Docker, REST APIs."
Frontend Developer Intern,AI Lab 2,Remote,"TypeScript, UI/UX, HTML, React, Tailwind CSS, CSS, Docker, Celery",Frontend,22000,4 months,"Frontend Developer Intern at AI Lab 2 in Remote. Focus on frontend projects with TypeScript, UI/UX, HTML, React, Tailwind CSS."
DevOps Intern,StartupXYZ 2,Delhi,"Terraform, CI/CD, Kubernetes, Linux",DevOps,23000,5 months,"DevOps Intern at StartupXYZ 2 in Delhi. Focus on devops projects with Terraform, CI/CD, Kubernetes, Linux."
Cloud Engineering Intern,VisionTech 2,Mumbai,"Linux, Kubernetes, Terraform, GCP, Docker, CI/CD, PostgreSQL",Cloud,24000,2 months,"Cloud Engineering Intern at VisionTech 2 in Mumbai. Focus on cloud projects with Linux, Kubernetes, Terraform, GCP, Docker."
Computer Vision Intern,CloudNine 2,Noida,"Image Processing, PyTorch, CNN, Python, Object Detection, OpenCV, Airflow, AWS",Computer Vision,25000,3 months,"Computer Vision Intern at CloudNine 2 in Noida. Focus on computer vision projects with Image Processing, PyTorch, CNN, Python, Object Detection."
Security Engineering Intern,DataForge 2,Gurugram,"Secure Coding, OAuth, Threat Modeling, IAM, Communication, Airflow",Security,26000,4 months,"Security Engineering Intern at DataForge 2 in Gurugram. Focus on security projects with Secure Coding, OAuth, Threat Modeling, IAM, Communication."
Product Analytics Intern,NextGen Systems 2,Kolkata,"Power BI, A/B Testing, Statistics, Tableau, Excel, FastAPI",Analytics,27000,5 months,"Product Analytics Intern at NextGen Systems 2 in Kolkata. Focus on analytics projects with Power BI, A/B Testing, Statistics, Tableau, Excel."
Machine Learning Intern,InnoSoft 2,Bangalore,"pandas, TensorFlow, Matplotlib, PyTorch, NumPy, Python, CI/CD, Communication",AI/ML,28000,2 months,"Machine Learning Intern at InnoSoft 2 in Bangalore. Focus on ai/ml projects with pandas, TensorFlow, Matplotlib, PyTorch, NumPy."
Data Science Intern,BrightEdge 2,Hyderabad,"pandas, Visualization, Python, Tableau, Statistics",Data Science,29000,3 months,"Data Science Intern at BrightEdge 2 in Hyderabad. Focus on data science projects with pandas, Visualization, Python, Tableau, Statistics."
NLP Research Intern,NexusAI 2,Pune,"spaCy, RAG, Embeddings, NLTK, Prompt Engineering, Python",NLP,30000,4 months,"NLP Research Intern at NexusAI 2 in Pune. Focus on nlp projects with spaCy, RAG, Embeddings, NLTK, Prompt Engineering."
Backend Developer Intern,QuantifyX 2,Chennai,"Microservices, FastAPI, REST APIs, Python, Django, Docker, PostgreSQL",Backend,31000,5 months,"Backend Developer Intern at QuantifyX 2 in Chennai. Focus on backend projects with Microservices, FastAPI, REST APIs, Python, Django."
Frontend Developer Intern,TechCorp 3,Remote,"TypeScript, React, Tailwind CSS, UI/UX, AWS, Bash",Frontend,32000,2 months,"Frontend Developer Intern at TechCorp 3 in Remote. Focus on frontend projects with TypeScript, React, Tailwind CSS, UI/UX, AWS."
DevOps Intern,Analytics Hub 3,Delhi,"AWS, Docker, Terraform, CI/CD, Monitoring, Kubernetes",DevOps,8000,3 months,"DevOps Intern at Analytics Hub 3 in Delhi. Focus on devops projects with AWS, Docker, Terraform, CI/CD, Monitoring."
Cloud Engineering Intern,AI Lab 3,Mumbai,"Terraform, Azure, Linux, Docker, GCP, AWS, REST APIs, CI/CD",Cloud,9000,4 months,"Cloud Engineering Intern at AI Lab 3 in Mumbai. Focus on cloud projects with Terraform, Azure, Linux, Docker, GCP."
Computer Vision Intern,StartupXYZ 3,Noida,"Image Processing, PyTorch, OpenCV, CNN, BERT, CI/CD",Computer Vision,10000,5 months,"Computer Vision Intern at StartupXYZ 3 in Noida. Focus on computer vision projects with Image Processing, PyTorch, OpenCV, CNN, BERT."
Security Engineering Intern,VisionTech 3,Gurugram,"Network Security, IAM, SAST, Threat Modeling, OAuth, Analytical Thinking, Bash",Security,11000,2 months,"Security Engineering Intern at VisionTech 3 in Gurugram. Focus on security projects with Network Security, IAM, SAST, Threat Modeling, OAuth."
Product Analytics Intern,CloudNine 3,Kolkata,"Excel, SQL, Tableau, Statistics, Power BI, A/B Testing, Airflow",Analytics,12000,3 months,"Product Analytics Intern at CloudNine 3 in Kolkata. Focus on analytics projects with Excel, SQL, Tableau, Statistics, Power BI."
Machine Learning Intern,DataForge 3,Bangalore,"Python, scikit-learn, A/B Testing, Matplotlib, CNN, Airflow",AI/ML,13000,4 months,"Machine Learning Intern at DataForge 3 in Bangalore. Focus on ai/ml projects with Python, scikit-learn, A/B Testing, Matplotlib, CNN."
Data Science Intern,NextGen Systems 3,Hyderabad,"Spark, NumPy, pandas, Tableau, Visualization",Data Science,14000,5 months,"Data Science Intern at NextGen Systems 3 in Hyderabad. Focus on data science projects with Spark, NumPy, pandas, Tableau, Visualization."
NLP Research Intern,InnoSoft 3,Pune,"Prompt Engineering, spaCy, Transformers, Embeddings, RAG, Python",NLP,15000,2 months,"NLP Research Intern at InnoSoft 3 in Pune. Focus on nlp projects with Prompt Engineering, spaCy, Transformers, Embeddings, RAG."
Backend Developer Intern,BrightEdge 3,Chennai,"Django, PostgreSQL, Docker, REST APIs, Kubernetes, AWS",Backend,16000,3 months,"Backend Developer Intern at BrightEdge 3 in Chennai. Focus on backend projects with Django, PostgreSQL, Docker, REST APIs, Kubernetes."
Frontend Developer Intern,NexusAI 3,Remote,"JavaScript, CSS, Tailwind CSS, UI/UX, HTML, Celery, CNN",Frontend,17000,4 months,"Frontend Developer Intern at NexusAI 3 in Remote. Focus on frontend projects with JavaScript, CSS, Tailwind CSS, UI/UX, HTML."
