title,type,topic,url,level,skills_covered
Python Tutorial,course,Python,https://docs.python.org/3/tutorial/,beginner,"Python,Programming"
SQL Tutorial,course,SQL,https://mode.com/sql-tutorial/,beginner,"SQL,Data"
scikit-learn User Guide,book,Machine Learning,https://scikit-learn.org/stable/user_guide.html,intermediate,"scikit-learn,Machine Learning"
FastAPI Tutorial,course,Backend APIs,https://fastapi.tiangolo.com/tutorial/,beginner,"FastAPI,REST APIs"
PyTorch Tutorials,course,Deep Learning,https://pytorch.org/tutorials/,intermediate,"PyTorch,Deep Learning"
TensorFlow Tutorials,course,Deep Learning,https://www.tensorflow.org/tutorials,intermediate,"TensorFlow,Deep Learning"
Hugging Face Course,course,NLP,https://huggingface.co/learn/nlp-course,intermediate,"Transformers,NLP"
spaCy Course,course,NLP,https://course.spacy.io/en/,beginner,"spaCy,NLP"
React Learn,course,Frontend,https://react.dev/learn,beginner,"React,Frontend"
Docker Get Started,course,DevOps,https://docs.docker.com/get-started/,beginner,"Docker,Containers"
Kubernetes Tutorials,course,DevOps,https://kubernetes.io/docs/tutorials/,intermediate,"Kubernetes,Cloud"
AWS Skills Builder,course,Cloud,https://explore.skillbuilder.aws/learn,beginner,"AWS,Cloud"
OpenCV Docs,course,Computer Vision,https://docs.opencv.org/,intermediate,"OpenCV,Computer Vision"
Matplotlib Gallery,book,Visualization,https://matplotlib.org/stable/gallery/index.html,beginner,"Matplotlib,Visualization"
Pandas User Guide,book,Data Analysis,https://pandas.pydata.org/docs/user_guide/,beginner,"pandas,Data Analysis"
NumPy Quickstart,course,Numerical Computing,https://numpy.org/doc/stable/user/quickstart.html,beginner,"NumPy,Numerical Computing"
OpenAI Safety Best Practices,article,Responsible AI,https://openai.com/safety,intermediate,Responsible AI
OWASP Top Ten,article,Security,https://owasp.org/www-project-top-ten/,intermediate,"Security,Secure Coding"
Google ML Crash Course,course,Machine Learning,https://developers.google.com/machine-learning/crash-course,beginner,Machine Learning
Tableau Learning,course,Analytics,https://www.tableau.com/learn/training,beginner,"Tableau,Analytics"
Power BI Learning,course,Analytics,https://learn.microsoft.com/power-bi/,beginner,"Power BI,Analytics"
Figma Learn,course,Design,https://help.figma.com/hc/en-us/categories/360002051613-Learn-design,beginner,"Figma,Design"
PostgreSQL Tutorial,course,Databases,https://www.postgresqltutorial.com/,beginner,"PostgreSQL,SQL"
Redis University,course,Databases,https://university.redis.com/,intermediate,"Redis,Databases"
Python Tutorial (2),course,Python,https://docs.python.org/3/tutorial/,beginner,"Python,Programming"
SQL Tutorial (2),course,SQL,https://mode.com/sql-tutorial/,beginner,"SQL,Data"
scikit-learn User Guide (2),book,Machine Learning,https://scikit-learn.org/stable/user_guide.html,intermediate,"scikit-learn,Machine Learning"
FastAPI Tutorial (2),course,Backend APIs,https://fastapi.tiangolo.com/tutorial/,beginner,"FastAPI,REST APIs"
PyTorch Tutorials (2),course,Deep Learning,https://pytorch.org/tutorials/,intermediate,"PyTorch,Deep Learning"
TensorFlow Tutorials (2),course,Deep Learning,https://www.tensorflow.org/tutorials,intermediate,"TensorFlow,Deep Learning"
Hugging Face Course (2),course,NLP,https://huggingface.co/learn/nlp-course,intermediate,"Transformers,NLP"
spaCy Course (2),course,NLP,https://course.spacy.io/en/,beginner,"spaCy,NLP"
React Learn (2),course,Frontend,https://react.dev/learn,beginner,"React,Frontend"
Docker Get Started (2),course,DevOps,https://docs.docker.com/get-started/,beginner,"Docker,Containers"
Kubernetes Tutorials (2),course,DevOps,https://kubernetes.io/docs/tutorials/,intermediate,"Kubernetes,Cloud"
AWS Skills Builder (2),course,Cloud,https://explore.skillbuilder.aws/learn,beginner,"AWS,Cloud"
OpenCV Docs (2),course,Computer Vision,https://docs.opencv.org/,intermediate,"OpenCV,Computer Vision"
Matplotlib Gallery (2),book,Visualization,https://matplotlib.org/stable/gallery/index.html,beginner,"Matplotlib,Visualization"
Pandas User Guide (2),book,Data Analysis,https://pandas.pydata.org/docs/user_guide/,beginner,"pandas,Data Analysis"
NumPy Quickstart (2),course,Numerical Computing,https://numpy.org/doc/stable/user/quickstart.html,beginner,"NumPy,Numerical Computing"
OpenAI Safety Best Practices (2),article,Responsible AI,https://openai.com/safety,intermediate,Responsible AI
OWASP Top Ten (2),article,Security,https://owasp.org/www-project-top-ten/,intermediate,"Security,Secure Coding"
Google ML Crash Course (2),course,Machine Learning,https://developers.google.com/machine-learning/crash-course,beginner,Machine Learning
Tableau Learning (2),course,Analytics,https://www.tableau.com/learn/training,beginner,"Tableau,Analytics"
Power BI Learning (2),course,Analytics,https://learn.microsoft.com/power-bi/,beginner,"Power BI,Analytics"
Figma Learn (2),course,Design,https://help.figma.com/hc/en-us/categories/360002051613-Learn-design,beginner,"Figma,Design"
PostgreSQL Tutorial (2),course,Databases,https://www.postgresqltutorial.com/,beginner,"PostgreSQL,SQL"
